epoch,train_loss,valid_loss,roc_auc_score,time
0,0.05060925334692001,0.054571956396102905,0.7100944550451704,06:22
1,0.04953422024846077,0.054465364664793015,0.7430384794059466,00:41
2,0.04749421030282974,0.05088092014193535,0.7439959665166683,00:42
3,0.04401015862822533,0.04550212621688843,0.7816450754625002,00:41
4,0.04108337685465813,0.043306343257427216,0.8094209443046069,00:41
5,0.038700565695762634,0.04180067405104637,0.833592098279661,00:41
6,0.03637514263391495,0.04188816249370575,0.8296286140183298,00:41
7,0.03423989564180374,0.03988632187247276,0.8576377695013374,00:41
8,0.0332118421792984,0.03783714026212692,0.8697280304782549,00:41
9,0.03243454173207283,0.03935335949063301,0.8631476360117093,00:42
10,0.03246085345745087,0.03948400542140007,0.8600568127195891,00:42
11,0.03165280073881149,0.04576151818037033,0.8375681066910606,00:42
12,0.031939100474119186,0.039375197142362595,0.8580712422311573,00:41
13,0.031144944950938225,0.041876353323459625,0.8412281545490691,00:41
14,0.032614029943943024,0.04164872318506241,0.846625082465751,00:41
15,0.03263242915272713,0.04074208438396454,0.8390653077786924,00:41
16,0.032757796347141266,0.0431118905544281,0.8255387679075059,00:41
17,0.033102720975875854,0.049542415887117386,0.7991817473151793,00:41
18,0.03307074308395386,0.04626406356692314,0.8085024259479693,00:42
